Gait Up - Physilog data export
Created on: 2020-07-20 10:37:32
Total data points: 10837

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Event,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[],[],[],[],[],
68.17969,2.86865,-3.78418,-1.03760,-0.13831,-0.40787,0.90607,,-0.65055,-0.29456,-0.36461,-0.59756,
68.18750,2.89917,-3.87573,-1.03760,-0.13856,-0.40860,0.90704,,-0.65065,-0.29479,-0.36456,-0.59737,
68.19531,2.92969,-3.81470,-0.91553,-0.14101,-0.41007,0.90801,,-0.65074,-0.29502,-0.36450,-0.59719,
68.20313,2.68555,-3.78418,-0.91553,-0.14199,-0.41007,0.90801,,-0.65083,-0.29524,-0.36444,-0.59702,
68.21094,2.68555,-3.81470,-0.88501,-0.14199,-0.41081,0.90631,,-0.65092,-0.29547,-0.36437,-0.59685,
68.21875,2.68555,-3.99780,-0.94604,-0.14175,-0.41105,0.90607,,-0.65102,-0.29570,-0.36430,-0.59667,
68.22656,2.59399,-3.93677,-0.88501,-0.13905,-0.40738,0.90582,,-0.65112,-0.29592,-0.36423,-0.59650,
68.23438,2.68555,-3.90625,-1.12915,-0.14493,-0.41056,0.90704,,-0.65123,-0.29614,-0.36416,-0.59631,
68.24219,2.71606,-4.11987,-1.15967,-0.13856,-0.40836,0.90631,,-0.65134,-0.29637,-0.36409,-0.59612,
68.25000,2.80762,-4.02832,-1.15967,-0.14420,-0.41081,0.91045,,-0.65145,-0.29660,-0.36402,-0.59593,
68.25781,2.83813,-4.18091,-1.31226,-0.14077,-0.40860,0.90655,,-0.65156,-0.29684,-0.36396,-0.59573,
68.26563,2.80762,-4.02832,-1.37329,-0.14248,-0.40689,0.90947,,-0.65168,-0.29706,-0.36390,-0.59553,
68.27344,2.77710,-4.15039,-1.40381,-0.14150,-0.40762,0.90753,,-0.65180,-0.29729,-0.36383,-0.59532,
68.28125,2.68555,-3.99780,-1.37329,-0.14150,-0.40713,0.90850,,-0.65191,-0.29751,-0.36377,-0.59512,
68.28906,2.53296,-4.02832,-1.40381,-0.13537,-0.41203,0.90534,,-0.65204,-0.29772,-0.36370,-0.59493,
68.29688,2.50244,-3.72314,-1.34277,-0.13954,-0.40836,0.90972,,-0.65215,-0.29792,-0.36364,-0.59474,
68.30469,2.34985,-3.78418,-1.34277,-0.13561,-0.41007,0.90972,,-0.65226,-0.29812,-0.36357,-0.59456,
