Gait Up - Physilog data export
Created on: 2020-07-20 10:39:04
Total data points: 10810

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Event,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[],[],[],[],[],
67.54688,-3.20435,-18.15796,-3.23486,0.05496,0.89572,0.31330,,0.18562,-0.52328,0.23977,0.79639,
67.55469,-0.09155,-18.15796,-2.80762,0.06011,0.88910,0.31525,,0.18603,-0.52231,0.23948,0.79702,
67.56250,1.58691,-17.94434,-3.05176,0.06919,0.89351,0.31793,,0.18652,-0.52133,0.23926,0.79761,
67.57031,1.19019,-17.30347,-3.29590,0.08022,0.89572,0.31914,,0.18699,-0.52039,0.23903,0.79818,
67.57813,0.48828,-16.63208,-3.41797,0.07949,0.89253,0.32474,,0.18744,-0.51950,0.23876,0.79874,
67.58594,-0.73242,-15.59448,-3.57056,0.08856,0.88910,0.32572,,0.18783,-0.51869,0.23843,0.79927,
67.59375,-1.00708,-14.89258,-3.99780,0.09469,0.87929,0.33180,,0.18823,-0.51792,0.23807,0.79978,
67.60156,-0.51880,-14.55688,-4.27246,0.10303,0.87978,0.33643,,0.18865,-0.51717,0.23774,0.80026,
67.60938,0.91553,-14.40430,-5.06592,0.10671,0.88223,0.34057,,0.18916,-0.51642,0.23747,0.80071,
67.61719,2.59399,-14.25171,-5.70679,0.10965,0.89425,0.33399,,0.18976,-0.51567,0.23726,0.80111,
67.62500,3.47900,-13.97705,-5.88989,0.10328,0.89964,0.33034,,0.19040,-0.51492,0.23710,0.80149,
67.63281,4.57764,-13.15308,-5.70679,0.10450,0.90676,0.33010,,0.19106,-0.51420,0.23702,0.80182,
67.64063,4.05884,-12.05444,-4.85229,0.10843,0.90798,0.32620,,0.19163,-0.51353,0.23695,0.80213,
67.64844,3.60107,-11.23047,-4.39453,0.11211,0.90038,0.32693,,0.19215,-0.51291,0.23688,0.80243,
67.65625,2.56348,-9.52148,-3.32642,0.11014,0.89597,0.32134,,0.19255,-0.51238,0.23682,0.80269,
67.66406,2.62451,-8.72803,-2.38037,0.11677,0.88787,0.31695,,0.19288,-0.51187,0.23680,0.80294,
67.67188,3.47900,-7.99561,-1.77002,0.12192,0.89278,0.31111,,0.19320,-0.51138,0.23686,0.80316,
67.67969,3.84521,-7.41577,-1.52588,0.12707,0.89670,0.30916,,0.19350,-0.51092,0.23696,0.80335,
67.68750,4.33350,-6.34766,-1.40381,0.12780,0.90896,0.30989,,0.19380,-0.51050,0.23710,0.80350,
67.69531,3.75366,-6.10352,-1.58691,0.13197,0.91804,0.30551,,0.19409,-0.51011,0.23721,0.80365,
67.70313,3.29590,-5.79834,-1.70898,0.13099,0.92000,0.30697,,0.19436,-0.50974,0.23729,0.80379,
67.71094,2.53296,-4.82178,-1.77002,0.13173,0.92637,0.30576,,0.19459,-0.50944,0.23734,0.80391,
67.71875,1.83105,-3.93677,-1.61743,0.12535,0.92760,0.30576,,0.19478,-0.50919,0.23737,0.80401,
67.72656,1.61743,-3.35693,-1.37329,0.11996,0.92858,0.30965,,0.19494,-0.50897,0.23741,0.80410,
67.73438,0.91553,-2.68555,-1.06812,0.11162,0.92368,0.31720,,0.19504,-0.50880,0.23743,0.80418,
67.74219,0.09155,-2.38037,-1.06812,0.10671,0.91534,0.32888,,0.19511,-0.50865,0.23740,0.80427,
67.75000,-0.21362,-2.07520,-1.03760,0.10254,0.90896,0.33180,,0.19516,-0.50852,0.23736,0.80435,
67.75781,-0.24414,-1.67847,-1.43433,0.09273,0.89302,0.33156,,0.19523,-0.50842,0.23731,0.80441,
67.76563,0.48828,-1.25122,-1.49536,0.08096,0.88395,0.33156,,0.19532,-0.50834,0.23731,0.80444,
67.77344,1.22070,-1.43433,-1.70898,0.07777,0.87218,0.33375,,0.19545,-0.50824,0.23733,0.80446,
67.78125,1.40381,-1.67847,-1.73950,0.07458,0.86458,0.33570,,0.19560,-0.50812,0.23736,0.80449,
67.78906,1.58691,-1.92261,-1.89209,0.07483,0.85698,0.33765,,0.19576,-0.50800,0.23739,0.80453,
67.79688,1.89209,-2.07520,-1.80054,0.07385,0.85501,0.34738,,0.19593,-0.50785,0.23744,0.80456,
67.80469,2.07520,-2.41089,-1.64795,0.07679,0.85796,0.34446,,0.19610,-0.50769,0.23750,0.80461,
67.81250,2.77710,-2.47192,-1.70898,0.07728,0.86188,0.34227,,0.19630,-0.50751,0.23759,0.80464,
67.82031,3.60107,-2.80762,-1.55640,0.07949,0.87586,0.34690,,0.19653,-0.50730,0.23774,0.80468,
